timestamp,verification_result,num_faces,iris_pos,iris_ratio,mouth_zone,mouth_area,x_rotation,y_rotation,z_rotation,radial_distance,gaze_direction,gaze_zone,watch,headphone,closedbook,earpiece,cell phone,openbook,chits,sheet,H-Distance,F-Distance,split,video,is_cheating
0-01-08.050000,1,1.0,0,0.485071250072666,0,15.5,0.0,0.0,0.0,1.1811522110083785,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-35.100000,1,1.0,0,0.4682769228250651,0,70.0,0.0,0.0,0.0,2.1855711229062087,0,0,0,0,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-02-12.300000,1,2.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-44.100000,1,1.0,0,0.45547275384765756,0,91.0,0.0,0.0,0.0,5.475999144773556,0,0,0,1,0,0,1,0,0,0,106.04244433244644,51.088159097779204,Train,Video1,1
0-00-33.800000,1,1.0,0,0.5423261445466404,0,112.5,0.0,0.0,0.0,5.287725659412794,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-38.600000,1,1.0,0,0.4655807695834604,0,111.0,0.0,0.0,0.0,4.953721516930365,0,0,0,0,0,0,1,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-37.400000,1,1.0,0,0.4578480054393911,0,77.0,0.0,0.0,0.0,3.3672317044052695,0,0,0,0,0,0,1,0,0,0,81.02468759581859,10000.0,Train,Video1,1
0-01-44.250000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-50.250000,1,1.0,1,0.6377629442306191,1,195.0,0.0,0.0,0.0,38.33758039536243,1,2,0,0,0,0,1,0,0,0,95.58765610684259,10000.0,Train,Video1,1
0-00-55.400000,1,1.0,0,0.485071250072666,0,102.5,0.0,0.0,0.0,2.887802981903375,0,0,0,0,0,0,1,0,0,0,97.0,10000.0,Train,Video1,1
0-00-14.500000,1,1.0,0,0.46257302031856284,0,23.5,0.0,0.0,0.0,7.028299720796245,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-00-22.200000,1,1.0,0,0.4524751129185459,0,46.0,0.0,0.0,0.0,6.83833726560236,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-49.300000,0,0.0,-1,0.0,-1,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,1,0,0,0,0,0,245.47301277329856,10000.0,Train,Video1,1
0-01-10.850000,1,1.0,0,0.5171017986071824,1,351.0,0.0,0.0,0.0,0.37724147614559417,0,0,0,1,0,0,1,0,0,0,10000.0,146.76852523616907,Train,Video1,1
0-01-44.900000,1,1.0,0,0.48370109142240975,2,562.5,0.0,0.0,0.0,1.7105890778986395,0,0,0,0,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-18.500000,1,1.0,0,0.42896404544467825,1,185.5,0.0,0.0,0.0,5.44460146879716,0,0,0,1,0,0,1,0,0,0,117.41379816699569,10000.0,Train,Video1,1
0-00-54.600000,1,1.0,0,0.43625569555386934,0,64.0,0.0,0.0,0.0,19.710554737503816,1,2,0,0,0,0,1,0,0,0,96.17692030835673,10000.0,Train,Video1,1
0-00-04.950000,1,1.0,0,0.45041373360313114,1,218.5,0.0,0.0,0.0,4.930514235436551,0,0,0,1,0,0,0,0,0,0,10000.0,10000.0,Train,Video1,1
0-01-11.250000,1,1.0,0,0.42151046063813286,0,77.0,0.0,0.0,0.0,3.9806837831233044,0,0,0,1,0,0,1,0,0,0,10000.0,150.74813431681335,Train,Video1,1
